Feature_Class,Missing_ASSETIDs,Rule_Type,Step_Num,Step_Name,Detail,Tool,Est_Time,Status,Notes
AST_tree,83250,Type A,PRE-1,Confirm primary ID field name,Verify the source field that ASSETID should be copied from (check existing attribute rules or schema),ArcGIS Pro / SQL Server,5 min,,
AST_tree,83250,Type A,PRE-2,Run pre-work NULL count query,"SELECT COUNT(*) FROM [GISRW01].[sdeadm].[AST_tree] WHERE ASSETID IS NULL OR ASSETID = ''; confirm count matches expected (83,250)",SQL Server,5 min,,
AST_tree,83250,Type A,PRE-3,Confirm maintenance window with stakeholders,Notify stakeholders — services will be down during field calculation,Email / Teams,5 min,,
AST_tree,83250,Type A,1,Create backup copy,"Copy Features → [GISRW01].[sdeadm].[AST_tree_BACKUP_20260515]; confirm row count matches source","ArcGIS Pro (Copy Features tool)",10–15 min,,Record backup name and row count in notes
AST_tree,83250,Type A,2,Stop associated services,Stop services: CityWorks; confirm each shows Stopped before proceeding,ArcGIS Server Manager,2 min,,Note time stopped for change log
AST_tree,83250,Type A,3,Disable editor tracking,"Feature class Properties → Editor Tracking tab → uncheck Enable Editor Tracking, or use DisableEditorTracking_management in ArcPy",ArcGIS Pro / ArcPy,1–2 min,,Prevents misleading audit trail on updated rows
AST_tree,83250,Type A,4,Export attribute rules to CSV,"Export Attribute Rules tool → output: C:\GIS\AttributeRules\AST_tree_rules_export_20260515.csv; open and review rule names and Arcade expressions","ArcGIS Pro (Export Attribute Rules)",1–2 min,,Keep CSV as rollback point
AST_tree,83250,Type A,5,Delete attribute rules,"Delete Attribute Rules tool; confirm no rules remain in feature class properties","ArcGIS Pro (Delete Attribute Rules)",1–2 min,,Rules must be removed before field calc to prevent Insert rules firing on updates
AST_tree,83250,Type A,6,Run field calculation — set ASSETID = primary ID,"UpdateCursor with where_clause=""ASSETID IS NULL OR ASSETID = ''""; set ASSETID = primary ID field value for each NULL row",ArcPy UpdateCursor,~30 min,,~83250 records; bottleneck step for this FC
AST_tree,83250,Type A,7,Import attribute rules (no changes needed),"Import Attribute Rules tool → use exported CSV from Step 4 as-is; verify rules are listed and active","ArcGIS Pro (Import Attribute Rules)",5 min,,Type A: no Arcade editing required
